Tiempo,Comando,Veh_mot,Latitud,Longitud,Altitud,Velocidad N,Velocidad E,Velocidad D,Aceleración N,Aceleración E,Aceleración D,Deriva N,Deriva E,Deriva D
1664.69148361261,MOTB,v1_m1,1.27261638415009,0.311207271528436,515631.37483856,-2022.44804851792,1286.30496536048,7295.24949696027,-8.10607878054046,1.8721850684538,-2.2743587511567,0,0,0
1722.09463821994,MOTB,v1_m1,1.21460349590275,0.228241501947886,515123.81111388,-2479.66486743949,1387.41000963288,7134.59064465774,-7.965012063347,1.76131512220914,-2.79878089281891,0,0,0
1779.49779282727,MOTB,v1_m1,1.15508570136206,0.166750866680467,514538.500922621,-2926.94690656944,1481.49611291393,6944.5164734312,-7.79194178768752,1.6390406402688,-3.31121473247853,0,0,0
1836.9009474346,MOTB,v1_m1,1.09461252567289,0.118962136528831,513886.853317645,-3362.49427678852,1567.94231774938,6725.83749159755,-7.5875162819616,1.50594867872311,-3.80952899417357,0,0,0
1894.30410204193,MOTB,v1_m1,1.03349239569089,0.0803592577752528,513181.771140488,-3784.55134523127,1646.16503126261,6479.48361492601,-7.35250651867209,1.36269015262874,-4.29164352302116,0,0,0
1951.70725664926,MOTB,v1_m1,0.971909973953626,0.0481738232739804,512437.434286609,-4191.41373080829,1715.62134324047,6206.50079993719,-7.08780533683531,1.20997378023865,-4.75553681424249,0,0,0
2009.11041125659,MOTB,v1_m1,0.909982034188754,0.0206262419898134,511669.07014036,-4581.43523269256,1775.81228784152,5908.04716896223,-6.79442627416948,1.04856510086929,-5.19925486702858,0,0,0
2066.51356586393,MOTB,v1_m1,0.847786021371973,-0.00347526634947508,510892.697340812,-4953.03466405365,1826.28590340799,5585.38863947867,-6.47350191645453,0.879282957735181,-5.62091982036048,0,0,0
2123.91672047126,MOTB,v1_m1,0.785375576818611,-0.0249575035052349,510124.85824917,-5304.70255807229,1866.64008830379,5239.89404472025,-6.1262816725707,0.702995944593048,-6.01873881534535,0,0,0
2181.31987507859,MOTB,v1_m1,0.722789431647096,-0.0444119537892186,509382.337442214,-5635.00770831953,1896.52524504921,4873.02973466856,-5.75412888902543,0.520618717731644,-6.39101304730099,0,0,0
2238.72302968592,MOTB,v1_m1,0.660056732291113,-0.0622733743664791,508681.873484948,-5942.60350117144,1915.64660349943,4486.35369045701,-5.35851722707631,0.333106404709336,-6.7361462424256,0,0,0
2296.12618429325,MOTB,v1_m1,0.59720034968425,-0.0788692256892903,508039.86757442,-6226.2339942658,1923.76641997699,4081.50907518443,-4.9410262386196,0.141452443390975,-7.05265447590714,0,0,0
2353.52933890058,MOTB,v1_m1,0.534238998760392,-0.09445174272567,507472.09442079,-6484.73969228074,1920.70573444771,3660.21734417374,-4.50333609334304,-0.0533191172194649,-7.33917384667367,0,0,0
2410.93249350791,MOTB,v1_m1,0.471188628550496,-0.109219383097731,506993.420354868,-6717.06296968606,1906.34589079427,3224.27085209495,-4.04722142876181,-0.250157743971954,-7.59446924234214,0,0,0
2468.33564811524,MOTB,v1_m1,0.408063349414191,-0.123331548894787,506617.533317803,-6922.25308970259,1880.62971074613,2775.52501768285,-3.57454431590285,-0.447992453098726,-7.81744204620393,0,0,0
2525.73880272258,MOTB,v1_m1,0.344876057669417,-0.136918953368259,506356.690258309,-7099.47076958189,1843.56232777518,2315.89007074958,-3.08724635591133,-0.645737733831949,-8.00713741391783,0,0,0
2583.14195732991,MOTB,v1_m1,0.281638857130805,-0.150091087644983,506221.486482479,-7247.9922445155,1795.21162582773,1847.32245732728,-2.5873399458546,-0.842300432409981,-8.16275022910434,0,0,0
