Tiempo,Comando,Veh_mot,Posición X,Posición Y,Posición Z,Velocidad X,Velocidad Y,Velocidad Z,Aceleración X,Aceleración Y,Aceleración Z,Deriva X,Deriva Y,Deriva Z
574.031546073312,MOT,v1_m1,-5513502.56980373,751309.10796314,4046136.53991566,4607.31027761669,999.78010896663,6072.57342083152,7.02123401117176,-1.52150832623825,-4.74445347572033,0,0,0
631.434700680644,MOT,v1_m1,-5237917.76415542,806017.335850454,4386316.43082032,4991.06601687169,905.144354366582,5775.73465195356,6.6852726453816,-1.6486159209787,-5.17112292710227,0,0,0
688.837855287975,MOT,v1_m1,-4940896.11618952,855096.794832283,4708782.56810374,5353.93660544633,803.761926919069,5455.61461673645,6.3214398417102,-1.7661473161366,-5.57669761195017,0,0,0
746.241009895306,MOT,v1_m1,-4623680.24474697,898176.939386575,5012235.52657898,5694.41404745152,696.222360608624,5113.51747500033,5.93133677642368,-1.87340864881162,-5.95955299105506,0,0,0
803.644164502637,MOT,v1_m1,-4287596.54856244,934922.130248943,5295453.28239718,6011.08835533707,583.151723528367,4750.83473220038,5.51667081803737,-1.96976347125383,-6.31816744708361,0,0,0
861.047319109969,MOT,v1_m1,-3934049.41769841,965033.633242173,5557296.05084017,6302.65309770941,465.209161990741,4369.03905568688,5.0792459816329,-2.05463553953467,-6.65112708744308,0,0,0
918.4504737173,MOT,v1_m1,-3564515.14226838,988251.41525559,5796710.76216488,6567.91039807287,343.083295530471,3969.67786194574,4.62095336359046,-2.1275114111006,-6.95712973394896,0,0,0
975.853628324631,MOT,v1_m1,-3180535.54703554,1004355.73883896,6012735.16362442,6805.77538714798,217.48846515825,3554.36671827042,4.14376162254923,-2.18794300124023,-7.23498815555135,0,0,0
1033.25678293196,MOT,v1_m1,-2783711.4008035,1013168.49160324,6204501.53818487,7015.2801118985,89.1609753876743,3124.78259825668,3.64970751492034,-2.23554769155816,-7.48363261483327,0,0,0
1090.65993753929,MOT,v1_m1,-2375695.58724703,1014554.3907476,6371240.03259683,7195.57692429243,-41.1449462930091,2682.65702582704,3.14088683152108,-2.27001325226892,-7.70211280989729,0,0,0
1148.06309214662,MOT,v1_m1,-1958186.12576138,1008421.86010943,6512281.58933643,7345.94134793741,-172.661060555651,2229.7691374037,2.6194453018054,-2.29109558807846,-7.88959930027083,0,0,0
1205.46624675396,MOT,v1_m1,-1532919.0274207,994723.728137812,6627060.47848717,7465.77445237352,-304.609174375707,1767.9386865892,2.08757001694128,-2.29862129917167,-8.04538450845897,0,0,0
1262.86940136129,MOT,v1_m1,-1101661.03171409,973457.68236017,6715116.42688436,7554.60474646113,-436.205212702332,1299.01901052475,1.54748105213484,-2.29248791685427,-8.16888338754404,0,0,0
1320.27255596862,MOT,v1_m1,-666202.248134202,944666.489598088,6776096.34280238,7612.08960850916,-566.663308709083,824.889972201649,1.00142339634915,-2.27266422723899,-8.25963384009818,0,0,0
1377.67571057595,MOT,v1_m1,-228348.726062024,908437.981928141,6809755.63515187,7638.01626614545,-695.199921480689,347.450888621105,0.451659108521733,-2.23919074919952,-8.31729696471365,0,0,0
1435.07886518328,MOT,v1_m1,210085.005572839,864904.803095884,6815959.12660688,7632.30235041628,-821.037833424562,-131.386548980016,-0.0995400996382249,-2.19217763909793,-8.34165719421919,0,0,0
1492.48201979061,MOT,v1_m1,647283.444752047,814243.932723203,6794681.56034419,7594.99600487314,-943.410350750835,-609.705359441295,-0.649900616060919,-2.13180822836946,-8.33262237473252,0,0,0
1549.88517439794,MOT,v1_m1,1081437.59023037,756675.963666815,6746007.70020397,7526.27559253517,-1061.5652467601,-1085.59035894719,-1.19715393357826,-2.05833454306667,-8.29022381716145,0,0,0
1607.28832900527,MOT,v1_m1,1510752.40001699,692464.157558767,6670132.02413643,7426.44897564079,-1174.76877209538,-1557.13525044235,-1.73904409221489,-1.97207847041949,-8.21461633460354,0,0,0
1664.69148361261,MOT,v1_m1,1933454.19376761,621913.271238722,6567358.01081995,7295.95237674727,-1282.30958266819,-2022.44971413315,-2.27333497237556,-1.87343032466501,-8.1060782612699,0,0,0
1722.09463821994,MOT,v1_m1,2347797.97768306,545368.159720337,6438097.01945979,7135.34881358545,-1383.5025954824,-2479.66649637387,-2.79781772030523,-1.76284759098049,-7.96501142434298,0,0,0
1779.49779282727,MOT,v1_m1,2752074.66868815,463212.152076088,6282866.76293335,6945.32609430718,-1477.69277744093,-2926.94849210702,-3.31031840633382,-1.64085375800052,-7.79194103168715,0,0,0
1836.9009474346,MOT,v1_m1,3144618.18405272,375865.253267391,6102289.37485376,6726.69438745593,-1564.25872731345,-3362.49581239839,-3.80870543346985,-1.50803471454977,-7.58751541218858,0,0,0
1894.30410204193,MOT,v1_m1,3523812.39220691,283782.062839757,5897089.07169446,6480.38328946195,-1642.61634304908,-3784.55282459482,-4.29089829084961,-1.36504023640579,-7.35250553882508,0,0,0
1951.70725664926,MOT,v1_m1,3888097.86821979,187449.567830136,5668089.41197115,6207.43845975733,-1712.22214170541,-4191.41514784575,-4.75487508607689,-1.21257793465308,-7.08780425107447,0,0,0
2009.11041125659,MOT,v1_m1,4235978.44917759,87384.7092789112,5416210.15561296,5909.0177476204,-1772.5765232784,-4581.43658158855,-5.19868139962512,-1.05141227839911,-6.79442508710114,0,0,0
2066.51356586393,MOT,v1_m1,4566027.55173936,-15868.2257840937,5142463.72809581,5586.38682318636,-1823.2268329074,-4953.03593928183,-5.62043892258201,-0.882361082338941,-6.47350063311376,0,0,0
2123.91672047126,MOT,v1_m1,4876894.2244318,-121740.382177833,4847951.2956593,5240.91429962032,-1863.77021938491,-5304.70375441884,-6.01835432092983,-0.706291958253117,-6.12628029840187,0,0,0
2181.31987507859,MOT,v1_m1,5167308.90461753,-229641.287291833,4533858.45997384,4874.06633555624,-1893.85628224763,-5635.00882090543,-6.39072828964757,-0.524118631955436,-5.7541274298608,0,0,0
2238.72302968592,MOT,v1_m1,5436088.85424132,-338961.87130925,4201450.58294168,4487.40075077263,-1913.1893981778,-5942.60452547337,-6.73596403244063,-0.336795356673551,-5.35851568911255,0,0,0
2296.12618429325,MOT,v1_m1,5682143.23642412,-449077.764680299,3852067.75486687,4082.56057821007,-1921.53092366717,-6226.2349261356,-7.05257708103117,-0.145314757462962,-4.9410246283923,0,0,0
2353.52933890058,MOT,v1_m1,5904477.81426678,-559352.562175033,3487119.42196584,3661.26717519194,-1918.70095596586,-6484.7405279633,-7.33920297412238,0.0492998637561624,-4.50333441769905,0,0,0
2410.93249350791,MOT,v1_m1,6102199.23697499,-669141.255046482,3108078.69205181,3225.31283137978,-1904.57985740424,-6717.06370583546,-7.59460602460485,0.24599865039138,-4.04721969483005,0,0,0
2468.33564811524,MOT,v1_m1,6274518.88916416,-777793.726092453,2716476.34014688,2776.55293413395,-1879.10943361375,-6922.25372339655,-7.81768702984337,0.443711220484685,-3.57454253106305,0,0,0
2525.73880272258,MOT,v1_m1,6420756.27562439,-884658.321294946,2313894.53868043,2316.89771598307,-1842.29377194202,-7099.47129833427,-8.0074905516112,0.641352586344315,-3.08724452776124,0,0,0
2583.14195732991,MOT,v1_m1,6540341.93432028,-989085.365059382,1901960.33974753,1848.30366000729,-1794.19968489169,-7247.99266628684,-8.16321087545136,0.837830035288406,-2.58733808217577,0,0,0
2640.54511193724,MOT,v1_m1,6632819.82043754,-1090430.87889563,1482338.93954842,1372.76453183402,-1734.95685769062,-7367.21309918961,-8.28419851532926,1.03204828386744,-2.07689688342565,0,0,0
2697.94826654457,MOT,v1_m1,6697849.19365773,-1188060.10887363,1056726.75753792,892.302204739492,-1664.75754421791,-7456.64983860923,-8.36996381786243,1.22291734579585,-1.55804572120503,0,0,0
2755.3514211519,MOT,v1_m1,6735205.95948177,-1281351.11961021,626844.364912257,408.957258034532,-1583.85592484726,-7515.94441048153,-8.42018091185583,1.40935842157217,-1.03294970943509,0,0,0
2812.75457575923,MOT,v1_m1,6744783.46928944,-1369698.32116225,194429.298790533,-75.2205507375517,-1492.56708023448,-7544.8642945149,-8.43468990657609,1.59031058897808,-0.503803044121857,0,0,0
2870.15773036656,MOT,v1_m1,6726592.77128413,-1452515.92628993,-238771.20024223,-558.181874897212,-1391.26559535529,-7543.30392916056,-8.41349795953512,1.76473724435786,0.0271825714982909,0,0,0
2927.56088497389,MOT,v1_m1,6680762.30633198,-1529241.33723833,-671007.488712882,-1037.88736040235,-1280.3838006725,-7511.28504126923,-8.35677914892623,1.93163242405896,0.557789691356824,0,0,0
2984.96403958123,MOT,v1_m1,6607537.07841249,-1599338.32290798,-1100534.82007462,-1512.31712423214,-1160.40968117985,-7448.95629811662,-8.26487267250642,2.09002659023417,1.08580693132596,0,0,0
3042.36719418856,MOT,v1_m1,6507277.24021673,-1662300.26294216,-1525620.60500504,-1979.48011573607,-1031.88443213172,-7356.59228814072,-8.13828080877404,2.23899278580276,1.6090406634916,0,0,0
3099.77034879589,MOT,v1_m1,6380456.19266925,-1717653.04592384,-1944551.59405857,-2437.42321280218,-895.39972919389,-7234.5918452422,-7.97766429734889,2.37765160941859,2.12532645170936,0,0,0
3157.17350340322,MOT,v1_m1,6227658.14785586,-1764957.90155157,-2355640.94564663,-2884.24004713568,-751.594704565082,-7083.47573961033,-7.78383761990036,2.505176337651,2.63254008713617,0,0,0
3214.57665801055,MOT,v1_m1,6049575.20014249,-1803814.03107037,-2757235.14386702,-3318.07947366414,-601.15266665782,-6903.88376552189,-7.55776280060141,2.62079739234485,3.12860809335207,0,0,0
3271.97981261788,MOT,v1_m1,5847003.92263919,-1833861.04321885,-3147720.73265715,-3737.15363412781,-444.797588818364,-6696.57126321016,-7.30054233657309,2.7238063641103,3.61151758522435,0,0,0
3329.38296722521,MOT,v1_m1,5620841.50833398,-1854781.19940292,-3525530.83504835,-4139.74556842626,-283.290383528059,-6462.40511753798,-7.01341131950665,2.81355974937443,4.07932538331749,0,0,0
3386.78612183254,MOT,v1_m1,5372081.5158815,-1866301.3570317,-3889151.42888826,-4524.21632884065,-117.425063374196,-6202.35928069028,-6.69772877543716,2.8894809229296,4.53016630578141,0,0,0
3444.18927643988,MOT,v1_m1,5101809.16759094,-1868194.85358352,-4237127.35320669,-4889.01158099843,51.9753589876855,-5917.50986932291,-6.35496872346439,2.95106468487094,4.96226058159867,0,0,0
3501.59243104721,MOT,v1_m1,4811196.33877928,-1860282.98682856,-4568068.02234947,-5232.6676474403,224.062971945372,-5609.02988850862,-5.98671046552523,2.99787727930388,5.37392035201655,0,0,0
3558.99558565454,MOT,v1_m1,4501496.18919721,-1842436.33945545,-4880652.82802438,-5553.81699679694,397.969210191436,-5278.18363539013,-5.59462892855756,3.0295589055284,5.76355525025864,0,0,0
3616.39874026187,MOT,v1_m1,4174037.50100021,-1814575.84203593,-5173636.2124119,-5851.19316498495,572.80915206575,-4926.32083471564,-5.18048476990892,3.04582462532442,6.12967707230411,0,0,0
3673.8018948692,MOT,v1_m1,3830218.75063217,-1776673.58779052,-5445852.39842294,-6123.63511107797,747.685855444852,-4554.87055646603,-4.74611452901287,3.0464650344629,6.47090357299227,0,0,0
3731.20504947653,MOT,v1_m1,3471501.94158929,-1728753.40813964,-5696219.76596852,-6370.09101329076,921.69472967199,-4165.33496269696,-4.29342087379478,3.03134689055771,6.78596144120835,0,0,0
3788.60820408386,MOT,v1_m1,3099406.26008291,-1670891.14661281,-5923744.86568116,-6589.62153469405,1093.92781339598,-3759.28292666384,-3.82436336304154,3.00041147393664,7.07368852479869,0,0,0
3846.01135869119,MOT,v1_m1,2715501.50759403,-1603214.78925355,-6127526.06384856,-6781.40253951744,1263.47821767204,-3338.34356244823,-3.34094887528889,2.95367746661086,7.33303538969352,0,0,0
3903.41451329853,MOT,v1_m1,2321401.44245896,-1525904.23914619,-6306756.814345,-6944.72733128203,1429.44435409455,-2904.19969786579,-2.84522327878704,2.89123720739413,7.56306630797944,0,0,0
3960.81766790586,MOT,v1_m1,1918756.98132365,-1439190.90008634,-6460728.55504972,-7079.00840231671,1590.93420786214,-2458.58131762449,-2.33926291948996,2.81325747465047,7.76295977615811,0,0,0
4018.22082251319,MOT,v1_m1,1509249.31779501,-1343357.00663249,-6588833.22761009,-7183.77873389713,1747.06953907439,-2003.25899774575,-1.82516679261099,2.71997823604462,7.93200866735265,0,0,0
4075.62397712052,MOT,v1_m1,1094582.97868246,-1238734.71439405,-6690565.42043912,-7258.69267102056,1896.99001995282,-1540.03734638886,-1.30504913250648,2.61171153230112,8.06962011975794,0,0,0
4133.02713172785,MOT,v1_m1,676478.838026773,-1125704.95678216,-6765524.13554357,-7303.52639034881,2039.85732316168,-1070.74846065026,-0.78103232539984,2.48884062533064,8.17531525834761,0,0,0
4190.43028633518,MOT,v1_m1,256667.131462579,-1004696.05926008,-6813414.18018411,-7318.17801920126,2174.85902657631,-597.245403854761,-0.255240830450355,2.35181680062912,8.24872883789249,0,0,0
4247.83344094251,MOT,v1_m1,-163119.559125049,-876182.151503636,-6834047.18450752,-7302.66733720199,2301.21264944708,-121.395703493748,0.27020609068205,2.20116165627304,8.28960888327624,0,0,0
4305.23659554984,MOT,v1_m1,-581153.260914436,-740681.330406133,-6827342.24620648,-7257.13519169945,2418.16938624494,354.925133503091,0.793199360104995,2.03746183633805,8.29781638753363,0,0,0
4362.63975015718,MOT,v1_m1,-995717.538982689,-598753.621299598,-6793326.20300966,-7181.84255255949,2525.01785182758,829.84009409838,1.31164636604043,1.86136922811204,8.27332511329674,0,0,0
4420.04290476451,MOT,v1_m1,-1405114.35818014,-450998.725078746,-6732133.53343515,-7077.16924656306,2621.08770290234,1301.47712824623,1.82347654431974,1.67359880710268,8.21622151908035,0,0,0
4477.44605937184,MOT,v1_m1,-1807670.86304735,-298053.56046135,-6644005.88583158,-6943.61236767036,2705.75314822322,1767.97562148483,2.32664702499886,1.47492669871602,8.12670482013919,0,0,0
4534.84921397917,MOT,v1_m1,-2201746.05736277,-140589.601802145,-6529291.23532135,-6781.7843526566,2778.4363559571,2227.49287776308,2.81914846180068,1.26618838687663,8.0050871667525,0,0,0
4592.2523685865,MOT,v1_m1,-2585737.36145595,20689.9426208335,-6388442.66794632,-6592.41076378242,2838.61062657796,2678.21061735329,3.29901013575985,1.04827462937329,7.85179390703108,0,0,0
